FIPS,State,County
17001,IL,ADAMS
17003,IL,ALEXANDER
17005,IL,BOND
17007,IL,BOONE
17009,IL,BROWN
17011,IL,BUREAU
17013,IL,CALHOUN
17015,IL,CARROLL
17017,IL,CASS
17019,IL,CHAMPAIGN
17021,IL,CHRISTIAN
17023,IL,CLARK
17025,IL,CLAY
17027,IL,CLINTON
17033,IL,CRAWFORD
17035,IL,CUMBERLAND
17037,IL,DE KALB
17039,IL,DE WITT
17041,IL,DOUGLAS
17045,IL,EDGAR
17047,IL,EDWARDS
17049,IL,EFFINGHAM
17053,IL,FORD
17055,IL,FRANKLIN
17057,IL,FULTON
17059,IL,GALLATIN
17061,IL,GREENE
17063,IL,GRUNDY
17065,IL,HAMILTON
17067,IL,HANCOCK
17071,IL,HENDERSON
17073,IL,HENRY
17075,IL,IROQUOIS
17077,IL,JACKSON
17079,IL,JASPER
17081,IL,JEFFERSON
17083,IL,JERSEY
17085,IL,JO DAVIESS
17087,IL,JOHNSON
17089,IL,KANE
17091,IL,KANKAKEE
17095,IL,KNOX
17097,IL,LAKE
17099,IL,LA SALLE
17101,IL,LAWRENCE
17103,IL,LEE
17105,IL,LIVINGSTON
17107,IL,LOGAN
17109,IL,MCDONOUGH
17113,IL,MCLEAN
17115,IL,MACON
17117,IL,MACOUPIN
17119,IL,MADISON
17121,IL,MARION
17123,IL,MARSHALL
17125,IL,MASON
17127,IL,MASSAC
17129,IL,MENARD
17131,IL,MERCER
17133,IL,MONROE
17135,IL,MONTGOMERY
17137,IL,MORGAN
17139,IL,MOULTRIE
17141,IL,OGLE
17143,IL,PEORIA
17145,IL,PERRY
17147,IL,PIATT
17153,IL,PULASKI
17155,IL,PUTNAM
17157,IL,RANDOLPH
17159,IL,RICHLAND
17161,IL,ROCK ISLAND
17163,IL,ST CLAIR
17165,IL,SALINE
17167,IL,SANGAMON
17169,IL,SCHUYLER
17171,IL,SCOTT
17173,IL,SHELBY
17175,IL,STARK
17177,IL,STEPHENSON
17179,IL,TAZEWELL
17181,IL,UNION
17183,IL,VERMILION
17185,IL,WABASH
17187,IL,WARREN
17189,IL,WASHINGTON
17191,IL,WAYNE
17193,IL,WHITE
17195,IL,WHITESIDE
17197,IL,WILL
17199,IL,WILLIAMSON
17201,IL,WINNEBAGO
17203,IL,WOODFORD
19001,IA,ADAIR
19005,IA,ALLAMAKEE
19007,IA,APPANOOSE
19009,IA,AUDUBON
19011,IA,BENTON
19013,IA,BLACK HAWK
19015,IA,BOONE
19017,IA,BREMER
19019,IA,BUCHANAN
19021,IA,BUENA VISTA
19023,IA,BUTLER
19025,IA,CALHOUN
19027,IA,CARROLL
19029,IA,CASS
19031,IA,CEDAR
19033,IA,CERRO GORDO
19035,IA,CHEROKEE
19037,IA,CHICKASAW
19039,IA,CLARKE
19041,IA,CLAY
19043,IA,CLAYTON
19045,IA,CLINTON
19047,IA,CRAWFORD
19049,IA,DALLAS
19051,IA,DAVIS
19053,IA,DECATUR
19055,IA,DELAWARE
19057,IA,DES MOINES
19059,IA,DICKINSON
19061,IA,DUBUQUE
19063,IA,EMMET
19065,IA,FAYETTE
19067,IA,FLOYD
19069,IA,FRANKLIN
19071,IA,FREMONT
19073,IA,GREENE
19075,IA,GRUNDY
19077,IA,GUTHRIE
19079,IA,HAMILTON
19081,IA,HANCOCK
19083,IA,HARDIN
19085,IA,HARRISON
19087,IA,HENRY
19089,IA,HOWARD
19091,IA,HUMBOLDT
19093,IA,IDA
19095,IA,IOWA
19097,IA,JACKSON
19099,IA,JASPER
19101,IA,JEFFERSON
19103,IA,JOHNSON
19105,IA,JONES
19107,IA,KEOKUK
19109,IA,KOSSUTH
19111,IA,LEE
19113,IA,LINN
19115,IA,LOUISA
19117,IA,LUCAS
19119,IA,LYON
19121,IA,MADISON
19123,IA,MAHASKA
19125,IA,MARION
19127,IA,MARSHALL
19129,IA,MILLS
19131,IA,MITCHELL
19133,IA,MONONA
19135,IA,MONROE
19137,IA,MONTGOMERY
19139,IA,MUSCATINE
19141,IA,O BRIEN
19143,IA,OSCEOLA
19145,IA,PAGE
19147,IA,PALO ALTO
19149,IA,PLYMOUTH
19151,IA,POCAHONTAS
19153,IA,POLK
19155,IA,POTTAWATTAMIE
19157,IA,POWESHIEK
19159,IA,RINGGOLD
19161,IA,SAC
19163,IA,SCOTT
19165,IA,SHELBY
19167,IA,SIOUX
19169,IA,STORY
19171,IA,TAMA
19173,IA,TAYLOR
19175,IA,UNION
19177,IA,VAN BUREN
19179,IA,WAPELLO
19181,IA,WARREN
19183,IA,WASHINGTON
19187,IA,WEBSTER
19189,IA,WINNEBAGO
19191,IA,WINNESHIEK
19193,IA,WOODBURY
19195,IA,WORTH
19197,IA,WRIGHT
22001,LA,ACADIA
22007,LA,ASSUMPTION
22009,LA,AVOYELLES
22017,LA,CADDO
22025,LA,CATAHOULA
22029,LA,CONCORDIA
22035,LA,EAST CARROLL
22039,LA,EVANGELINE
22041,LA,FRANKLIN
22043,LA,GRANT
22045,LA,IBERIA
22053,LA,JEFFERSON DAVIS
22065,LA,MADISON
22067,LA,MOREHOUSE
22069,LA,NATCHITOCHES
22073,LA,OUACHITA
22077,LA,POINTE COUPEE
22079,LA,RAPIDES
22083,LA,RICHLAND
22097,LA,SAINT LANDRY
22099,LA,SAINT MARTIN
22101,LA,SAINT MARY
22107,LA,TENSAS
22113,LA,VERMILION
22117,LA,WASHINGTON
22121,LA,WEST BATON ROUGE
22123,LA,WEST CARROLL
28007,MS,ATTALA
28009,MS,BENTON
28011,MS,BOLIVAR
28013,MS,CALHOUN
28015,MS,CARROLL
28017,MS,CHICKASAW
28021,MS,CLAIBORNE
28027,MS,COAHOMA
28033,MS,DE SOTO
28039,MS,GEORGE
28049,MS,HINDS
28051,MS,HOLMES
28053,MS,HUMPHREYS
28055,MS,ISSAQUENA
28057,MS,ITAWAMBA
28071,MS,LAFAYETTE
28081,MS,LEE
28083,MS,LEFLORE
28087,MS,LOWNDES
28089,MS,MADISON
28095,MS,MONROE
28097,MS,MONTGOMERY
28103,MS,NOXUBEE
28115,MS,PONTOTOC
28117,MS,PRENTISS
28119,MS,QUITMAN
28121,MS,RANKIN
28125,MS,SHARKEY
28133,MS,SUNFLOWER
28135,MS,TALLAHATCHIE
28139,MS,TIPPAH
28143,MS,TUNICA
28145,MS,UNION
28149,MS,WARREN
28151,MS,WASHINGTON
28155,MS,WEBSTER
28163,MS,YAZOO
